,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
621,GANGETIC WEST BENGAL,1970,10.8,15.1,30.8,16.8,63.5,323.2,285.0,219.8,472.6,195.0,15.8,0.0,1648.5,25.9,111.1,1300.7,210.9
622,GANGETIC WEST BENGAL,1971,30.6,14.2,4.8,174.2,122.1,260.3,472.5,573.4,252.8,163.5,31.4,0.0,2099.8,44.8,301.1,1559.0,194.9
623,GANGETIC WEST BENGAL,1972,2.8,43.1,4.1,16.4,25.1,125.9,288.3,543.2,222.5,59.7,2.1,0.0,1333.2,45.8,45.6,1179.9,61.8
624,GANGETIC WEST BENGAL,1973,1.3,8.9,67.6,26.0,134.2,204.2,304.9,335.0,401.6,206.6,20.9,23.9,1735.2,10.2,227.8,1245.7,251.5
625,GANGETIC WEST BENGAL,1974,3.6,0.0,83.1,29.8,94.5,96.4,438.5,317.1,262.7,140.3,4.6,0.0,1470.7,3.6,207.5,1114.6,144.9
626,GANGETIC WEST BENGAL,1975,9.9,18.7,10.6,38.1,65.8,156.6,364.9,331.1,286.3,141.6,42.6,0.0,1466.2,28.6,114.5,1138.9,184.2
627,GANGETIC WEST BENGAL,1976,0.0,32.8,20.7,47.5,133.1,148.9,296.6,279.6,197.5,52.1,31.2,0.6,1240.6,32.8,201.3,922.6,83.8
628,GANGETIC WEST BENGAL,1977,11.7,24.2,7.3,89.9,176.4,409.4,450.9,329.4,171.3,86.6,48.0,35.5,1840.6,35.9,273.6,1361.0,170.1
629,GANGETIC WEST BENGAL,1978,1.4,21.2,50.5,49.8,116.3,253.0,274.1,349.1,591.8,148.8,10.3,6.4,1872.5,22.6,216.5,1467.9,165.5
630,GANGETIC WEST BENGAL,1979,16.0,27.3,8.4,28.0,22.3,282.9,296.4,229.6,167.0,48.0,11.5,20.4,1157.9,43.3,58.7,975.9,79.9
631,GANGETIC WEST BENGAL,1980,15.5,22.6,60.9,21.8,109.9,303.6,403.2,243.3,181.0,158.6,0.0,0.4,1521.0,38.1,192.7,1131.2,159.1
632,GANGETIC WEST BENGAL,1981,13.7,63.9,64.8,110.8,250.9,321.4,417.7,327.7,250.0,11.6,3.8,72.8,1909.0,77.6,426.5,1316.7,88.2
633,GANGETIC WEST BENGAL,1982,2.4,35.8,87.2,70.9,37.1,196.0,224.5,308.9,101.1,29.2,17.9,0.0,1111.0,38.2,195.2,830.4,47.1
634,GANGETIC WEST BENGAL,1983,9.1,39.2,47.0,44.2,132.5,188.9,207.6,365.4,247.4,167.6,1.1,13.6,1463.6,48.2,223.7,1009.4,182.3
635,GANGETIC WEST BENGAL,1984,19.1,2.6,0.6,46.6,82.6,597.1,332.7,442.2,196.4,111.8,0.0,0.0,1831.7,21.7,129.8,1568.4,111.8
636,GANGETIC WEST BENGAL,1985,10.9,22.0,8.8,24.1,99.6,280.4,286.3,340.6,201.8,137.2,1.8,0.0,1413.4,32.9,132.4,1109.1,139.0
637,GANGETIC WEST BENGAL,1986,9.6,6.3,7.1,48.5,146.1,227.9,313.4,181.2,522.2,201.5,106.4,20.6,1791.0,15.9,201.7,1244.8,328.5
638,GANGETIC WEST BENGAL,1987,1.8,7.1,18.9,76.6,91.7,146.9,427.4,473.0,262.6,34.1,43.7,7.7,1591.5,8.9,187.2,1309.9,85.5
639,GANGETIC WEST BENGAL,1988,1.7,22.9,53.5,45.3,109.3,508.8,299.9,292.6,207.1,100.4,39.5,0.5,1681.5,24.6,208.1,1308.4,140.4
640,GANGETIC WEST BENGAL,1989,0.4,4.9,6.1,5.4,173.6,318.2,414.5,291.4,284.2,105.5,3.7,18.3,1626.3,5.3,185.1,1308.3,127.5
641,GANGETIC WEST BENGAL,1990,2.2,62.2,119.0,79.3,147.6,268.2,520.2,236.3,300.7,174.2,47.9,3.5,1961.3,64.4,346.0,1325.4,225.6
642,GANGETIC WEST BENGAL,1991,27.8,11.4,41.7,34.5,66.1,257.4,381.2,331.3,249.2,125.6,15.6,67.5,1609.1,39.2,142.2,1219.0,208.7
643,GANGETIC WEST BENGAL,1992,14.0,49.5,0.1,25.0,127.0,239.9,407.6,254.1,226.6,66.2,4.4,0.2,1414.6,63.5,152.1,1128.3,70.7
644,GANGETIC WEST BENGAL,1993,0.3,3.8,40.8,78.6,116.2,328.5,280.0,357.7,421.4,94.2,38.2,0.0,1759.7,4.0,235.6,1387.6,132.5
645,GANGETIC WEST BENGAL,1994,23.8,48.8,7.3,63.7,98.0,310.1,426.1,294.4,166.1,82.9,9.6,0.0,1530.8,72.6,169.0,1196.8,92.5
646,GANGETIC WEST BENGAL,1995,20.2,30.1,8.7,10.1,202.9,185.4,401.1,413.0,411.5,86.4,160.5,6.2,1936.0,50.3,221.7,1411.0,253.1
647,GANGETIC WEST BENGAL,1996,11.0,13.2,10.4,39.2,67.5,336.0,251.3,472.0,143.5,155.9,4.1,0.0,1504.0,24.2,117.0,1202.7,160.0
648,GANGETIC WEST BENGAL,1997,18.7,23.6,44.2,101.8,98.2,219.6,437.3,387.3,244.0,27.8,30.5,24.9,1657.7,42.3,244.1,1288.1,83.1
649,GANGETIC WEST BENGAL,1998,52.9,31.0,128.8,53.0,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0.0,1632.7,83.9,268.9,1011.5,268.4
650,GANGETIC WEST BENGAL,1999,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0.0,1957.0,0.8,230.0,1517.2,209.0
651,GANGETIC WEST BENGAL,2000,9.5,57.9,3.8,54.0,215.0,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1,67.4,272.8,1153.9,77.9
652,GANGETIC WEST BENGAL,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0.0,1540.6,2.2,258.0,1108.0,172.4
653,GANGETIC WEST BENGAL,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3,27.8,218.1,1244.9,122.5
654,GANGETIC WEST BENGAL,2003,0.5,11.7,70.0,36.3,81.9,280.5,253.4,239.3,155.0,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
