,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
2348,GUJARAT REGION,1972,0.1,2.0,0.0,0.0,1.8,87.8,208.4,180.4,23.0,0.2,0.0,0.0,503.8,2.0,1.9,499.7,0.2
2349,GUJARAT REGION,1973,0.2,0.7,0.1,0.0,1.3,97.3,301.4,364.5,387.0,7.1,0.0,0.1,1159.6,0.9,1.4,1150.2,7.1
2350,GUJARAT REGION,1974,0.0,0.0,0.0,0.6,51.3,22.1,135.5,103.0,68.7,38.6,0.0,1.5,421.3,0.0,51.9,329.3,40.1
2351,GUJARAT REGION,1975,0.0,0.0,0.7,0.0,0.1,156.0,219.5,449.6,318.5,48.2,0.0,0.0,1192.7,0.0,0.9,1143.6,48.2
2352,GUJARAT REGION,1976,3.2,0.0,0.0,0.0,0.2,342.5,584.4,482.4,149.5,0.2,57.7,0.0,1620.1,3.2,0.2,1558.8,57.9
2353,GUJARAT REGION,1977,3.9,0.1,0.2,0.1,15.4,310.2,565.2,242.9,160.0,0.7,8.9,0.0,1307.7,4.0,15.8,1278.3,9.6
2354,GUJARAT REGION,1978,0.0,1.1,0.0,2.0,0.3,155.5,280.7,405.7,52.3,6.1,26.2,5.9,935.8,1.1,2.3,894.2,38.2
2355,GUJARAT REGION,1979,1.0,4.6,0.0,0.0,0.3,132.3,174.2,441.3,46.3,11.5,92.8,0.1,904.5,5.6,0.4,794.1,104.3
2356,GUJARAT REGION,1980,0.1,0.0,0.0,0.0,0.1,261.3,268.7,249.1,24.0,0.8,0.4,17.6,822.0,0.1,0.1,803.1,18.7
2357,GUJARAT REGION,1981,1.3,0.0,0.7,0.1,0.3,111.3,414.3,377.0,137.9,40.8,30.5,0.0,1114.2,1.3,1.0,1040.6,71.4
2358,GUJARAT REGION,1982,0.4,0.1,0.1,2.6,45.8,39.6,274.4,266.3,25.8,6.5,96.6,0.0,758.3,0.5,48.5,606.2,103.1
2359,GUJARAT REGION,1983,0.1,0.0,0.0,8.0,1.3,129.3,408.8,405.9,180.8,79.8,0.0,0.0,1213.9,0.1,9.4,1124.7,79.8
2360,GUJARAT REGION,1984,0.0,0.0,0.0,0.0,0.0,85.2,250.5,421.4,89.2,5.7,1.7,0.0,853.6,0.0,0.0,846.3,7.3
2361,GUJARAT REGION,1985,0.0,0.0,0.0,0.8,2.1,14.7,247.2,182.5,18.1,124.0,0.0,0.3,589.7,0.0,2.9,462.4,124.3
2362,GUJARAT REGION,1986,0.0,0.0,0.1,0.0,2.0,180.1,161.8,149.4,5.9,1.5,1.1,0.0,501.8,0.0,2.1,497.1,2.6
2363,GUJARAT REGION,1987,0.4,0.5,0.0,0.0,0.3,69.6,119.4,180.6,5.7,3.4,11.2,10.7,401.9,0.9,0.4,375.2,25.4
2364,GUJARAT REGION,1988,0.0,0.0,0.0,2.5,0.0,74.7,573.1,245.5,190.4,11.2,0.0,0.0,1097.4,0.0,2.5,1083.7,11.2
2365,GUJARAT REGION,1989,1.3,0.0,0.0,0.0,0.1,112.5,351.2,298.3,58.0,1.5,0.0,0.0,822.8,1.3,0.1,819.9,1.5
2366,GUJARAT REGION,1990,0.0,3.3,0.2,0.0,32.9,79.0,221.6,530.5,226.2,16.0,4.8,3.8,1118.4,3.3,33.2,1057.3,24.6
2367,GUJARAT REGION,1991,0.0,0.0,0.0,0.0,0.0,55.6,440.8,133.8,41.8,0.0,0.7,0.0,672.7,0.0,0.0,672.0,0.7
2368,GUJARAT REGION,1992,0.8,0.0,0.0,0.0,0.9,132.8,256.3,244.4,244.1,19.2,2.5,0.0,901.1,0.8,0.9,877.7,21.7
2369,GUJARAT REGION,1993,0.0,1.7,0.1,0.0,0.0,133.2,557.4,69.5,147.8,30.1,1.5,0.0,941.4,1.7,0.1,908.0,31.7
2370,GUJARAT REGION,1994,7.2,0.0,0.0,0.1,0.0,320.7,490.6,370.1,343.7,2.0,0.1,0.0,1534.5,7.2,0.2,1525.1,2.1
2371,GUJARAT REGION,1995,2.2,0.0,0.2,0.0,0.0,8.5,451.0,127.4,71.0,22.9,0.3,0.7,684.3,2.2,0.3,657.9,23.9
2372,GUJARAT REGION,1996,1.0,0.0,0.0,0.0,0.0,123.9,374.6,228.5,151.3,23.3,0.1,0.0,902.8,1.0,0.0,878.3,23.4
2373,GUJARAT REGION,1997,0.7,0.0,0.2,3.3,3.6,355.3,241.9,358.0,96.1,8.1,0.9,0.9,1068.9,0.7,7.1,1051.3,9.8
2374,GUJARAT REGION,1998,0.0,0.1,0.0,0.0,0.0,111.5,312.2,196.1,346.9,98.8,4.4,0.0,1070.0,0.1,0.0,966.7,103.2
2375,GUJARAT REGION,1999,0.0,2.0,0.0,0.0,7.4,158.0,219.4,55.1,57.2,69.5,0.0,0.0,568.4,2.0,7.4,489.6,69.5
2376,GUJARAT REGION,2000,0.0,0.1,0.0,0.0,36.1,62.9,301.1,133.0,13.5,0.2,0.0,3.6,550.6,0.1,36.1,510.6,3.9
2377,GUJARAT REGION,2001,6.1,0.0,0.0,0.2,2.1,216.9,320.0,256.8,17.8,28.9,0.2,0.0,849.0,6.1,2.3,811.5,29.0
2378,GUJARAT REGION,2002,4.1,0.0,0.1,0.0,0.0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2,4.1,0.1,632.2,0.8
2379,GUJARAT REGION,2003,0.0,6.1,0.1,0.0,0.0,209.3,518.7,314.6,109.5,1.9,0.0,0.0,1160.3,6.1,0.1,1152.2,1.9
2380,GUJARAT REGION,2004,0.0,0.0,0.0,0.0,4.4,135.5,238.2,553.7,51.8,22.2,0.0,0.0,1005.8,0.0,4.4,979.1,22.3
2381,GUJARAT REGION,2005,0.0,0.0,0.0,0.0,0.3,367.3,378.7,229.4,339.2,1.4,0.0,0.0,1316.4,0.0,0.3,1314.7,1.4
2382,GUJARAT REGION,2006,0.0,0.0,0.8,0.0,0.2,123.5,576.0,624.8,140.6,9.2,2.9,0.0,1478.0,0.0,1.1,1464.9,12.1
2383,GUJARAT REGION,2007,0.1,0.4,0.0,0.0,0.3,94.0,567.8,345.6,169.4,0.0,1.4,0.0,1178.9,0.5,0.3,1176.7,1.4
2384,GUJARAT REGION,2008,0.0,0.0,0.0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1,0.0,3.3,893.9,14.0
2385,GUJARAT REGION,2009,0.0,0.0,0.3,0.0,0.0,17.0,390.3,143.5,54.9,27.4,8.1,0.0,641.6,0.0,0.3,605.7,35.5
2386,GUJARAT REGION,2010,0.2,0.0,0.0,0.0,0.0,59.3,328.2,431.0,216.6,12.2,41.0,0.2,1088.7,0.2,0.0,1035.0,53.4
2387,GUJARAT REGION,2011,0.0,0.2,0.0,0.0,0.0,16.3,259.2,451.7,162.5,0.4,0.0,0.0,890.5,0.2,0.0,889.8,0.4
2388,GUJARAT REGION,2012,0.1,0.0,0.0,0.0,0.0,34.4,178.2,230.3,263.8,7.1,0.0,0.0,714.0,0.1,0.0,706.7,7.1
2389,GUJARAT REGION,2013,0.0,0.9,0.1,4.6,0.0,155.7,405.4,211.1,287.3,53.2,0.1,0.0,1118.6,0.9,4.7,1059.6,53.3
2390,GUJARAT REGION,2014,5.7,0.1,0.2,1.0,1.3,11.6,307.5,138.6,235.1,3.3,1.3,0.0,705.7,5.8,2.5,692.8,4.6
2391,GUJARAT REGION,2015,1.8,0.0,6.1,5.5,0.9,120.7,354.7,37.4,93.4,2.2,0.3,0.0,622.9,1.8,12.5,606.1,2.6
