,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
2507,KONKAN & GOA,1901,5.6,0.1,0.4,35.7,19.9,746.1,1075.5,748.0,117.4,38.6,5.4,0.1,2792.9,5.7,56.0,2687.0,44.1
2508,KONKAN & GOA,1902,0.3,0.0,0.0,0.4,7.6,428.2,943.6,515.1,613.8,74.3,42.7,48.0,2673.9,0.3,8.0,2500.6,165.0
2509,KONKAN & GOA,1903,0.0,0.0,0.1,0.0,201.1,470.5,1298.6,673.9,285.1,140.8,12.4,1.7,3084.3,0.0,201.2,2728.2,154.9
2510,KONKAN & GOA,1904,0.0,0.1,6.6,6.3,4.6,975.8,771.7,321.3,217.0,90.3,0.0,0.0,2393.7,0.1,17.5,2285.8,90.3
2511,KONKAN & GOA,1905,0.1,0.1,0.0,0.4,8.6,293.7,770.6,305.5,208.3,83.5,12.1,0.0,1682.8,0.2,9.0,1578.1,95.5
2512,KONKAN & GOA,1906,5.0,0.9,0.0,0.0,2.9,547.4,1090.9,506.7,222.5,31.6,10.2,0.7,2418.9,5.9,2.9,2367.5,42.6
2513,KONKAN & GOA,1907,1.7,1.0,0.0,20.1,0.0,583.1,1170.9,811.5,164.0,11.4,1.9,0.9,2766.6,2.8,20.1,2729.5,14.2
2514,KONKAN & GOA,1908,0.9,1.1,0.0,2.3,1.0,440.0,1391.8,649.8,222.4,24.6,1.6,0.0,2735.5,2.0,3.3,2704.0,26.2
2515,KONKAN & GOA,1909,0.1,0.0,0.1,0.3,7.8,759.5,1301.8,381.5,384.4,17.5,7.4,0.1,2860.5,0.1,8.2,2827.2,25.0
2516,KONKAN & GOA,1910,0.0,0.0,0.3,0.0,2.6,832.4,407.8,763.2,374.6,121.4,41.7,0.0,2544.0,0.0,2.9,2378.0,163.1
2517,KONKAN & GOA,1911,0.2,0.0,3.2,0.0,17.1,543.6,585.6,750.3,175.5,34.2,21.4,3.6,2134.7,0.2,20.4,2055.0,59.1
2518,KONKAN & GOA,1912,0.0,0.0,0.0,4.1,28.9,671.0,1242.9,541.7,135.2,71.9,97.5,0.0,2793.3,0.0,33.0,2590.8,169.5
2519,KONKAN & GOA,1913,0.0,0.0,0.0,1.3,18.7,897.9,1074.3,321.8,194.4,107.5,1.6,0.0,2617.4,0.0,20.0,2488.4,109.1
2520,KONKAN & GOA,1914,0.0,0.8,0.0,0.8,1.6,706.9,1370.3,797.6,549.9,21.9,11.2,3.6,3464.6,0.8,2.5,3424.7,36.6
2521,KONKAN & GOA,1915,0.0,4.7,5.9,10.2,7.7,845.1,734.4,355.1,412.2,137.4,12.8,0.3,2525.8,4.8,23.8,2346.7,150.5
2522,KONKAN & GOA,1916,0.0,0.0,0.0,2.4,39.9,832.7,765.6,851.1,620.1,204.7,86.1,0.0,3402.6,0.0,42.3,3069.5,290.8
2523,KONKAN & GOA,1917,0.0,18.4,1.2,0.3,17.5,807.6,675.1,902.5,567.7,408.0,32.6,0.0,3430.9,18.4,19.0,2952.9,440.6
2524,KONKAN & GOA,1918,0.1,0.0,3.3,0.1,345.4,334.1,424.7,578.1,123.6,5.8,52.0,0.0,1867.3,0.1,348.8,1460.4,57.9
2525,KONKAN & GOA,1919,2.5,0.0,0.0,0.0,9.6,643.6,1120.2,643.5,276.8,124.5,20.6,10.5,2851.7,2.5,9.6,2684.0,155.6
2526,KONKAN & GOA,1920,14.0,1.2,0.0,12.0,5.1,424.9,824.0,360.8,226.7,52.4,2.9,0.0,1924.1,15.3,17.2,1836.4,55.3
2527,KONKAN & GOA,1921,0.3,0.0,0.1,4.8,0.0,658.1,1102.5,611.8,450.4,57.5,13.7,0.0,2899.2,0.3,5.0,2822.7,71.2
2528,KONKAN & GOA,1922,0.0,0.0,0.0,6.3,13.4,774.3,1290.6,339.3,261.1,41.4,90.0,1.2,2817.5,0.0,19.7,2665.3,132.5
2529,KONKAN & GOA,1923,0.0,0.5,4.7,1.3,7.8,259.4,1643.9,480.7,363.7,8.3,0.1,0.0,2770.5,0.5,13.8,2747.7,8.4
2530,KONKAN & GOA,1924,0.0,0.0,0.1,0.1,0.4,522.5,932.2,641.7,324.4,19.0,3.8,0.0,2444.3,0.0,0.6,2420.9,22.8
2531,KONKAN & GOA,1925,0.1,0.0,7.4,5.2,121.0,800.9,655.5,501.5,120.4,74.6,18.6,0.0,2305.1,0.1,133.6,2078.3,93.2
2532,KONKAN & GOA,1926,31.8,0.0,0.0,0.0,1.5,306.1,1203.6,1149.6,432.9,39.2,1.1,0.0,3165.9,31.8,1.5,3092.3,40.3
2533,KONKAN & GOA,1927,0.0,0.2,0.2,0.0,5.5,785.6,1030.3,416.6,240.9,178.8,87.3,1.6,2747.0,0.2,5.7,2473.4,267.6
2534,KONKAN & GOA,1928,0.0,1.3,0.2,3.1,1.1,657.0,1159.4,939.9,264.5,137.9,7.7,0.4,3172.4,1.3,4.4,3020.8,145.9
