,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1390,HARYANA DELHI & CHANDIGARH,1934,21.6,1.0,47.6,0.7,2.0,64.6,140.8,199.1,18.3,0.0,0.0,5.6,501.4,22.6,50.4,422.8,5.6
1391,HARYANA DELHI & CHANDIGARH,1935,35.1,25.1,7.1,29.2,0.7,5.3,208.9,132.3,97.0,7.5,6.0,14.2,568.3,60.2,37.0,443.5,27.7
1392,HARYANA DELHI & CHANDIGARH,1936,1.6,18.2,6.8,0.7,3.3,141.3,124.4,125.7,61.3,0.1,1.2,26.5,511.1,19.8,10.8,452.7,27.7
1393,HARYANA DELHI & CHANDIGARH,1937,0.8,75.8,5.3,20.3,5.2,43.7,171.6,39.3,109.8,0.4,0.3,9.1,481.7,76.7,30.8,364.4,9.8
1394,HARYANA DELHI & CHANDIGARH,1938,38.2,7.7,0.4,1.1,7.4,61.7,89.7,56.9,8.1,7.6,0.1,0.0,278.8,45.9,8.9,216.3,7.7
1395,HARYANA DELHI & CHANDIGARH,1939,1.9,38.5,20.2,0.5,0.3,88.8,62.7,32.9,63.3,1.2,0.0,0.0,310.2,40.5,20.9,247.6,1.2
1396,HARYANA DELHI & CHANDIGARH,1940,28.2,35.6,11.9,6.7,1.7,38.7,117.4,142.3,12.6,0.2,0.0,0.4,395.7,63.8,20.3,311.1,0.5
1397,HARYANA DELHI & CHANDIGARH,1941,59.2,5.1,2.2,0.0,16.2,96.3,41.0,90.1,46.4,3.9,0.0,3.5,363.9,64.3,18.4,273.8,7.4
1398,HARYANA DELHI & CHANDIGARH,1942,24.9,48.6,2.2,11.7,7.3,48.2,257.5,237.6,154.2,0.3,0.0,11.9,804.5,73.6,21.2,697.6,12.2
1399,HARYANA DELHI & CHANDIGARH,1943,19.6,2.1,2.4,14.7,8.5,28.8,129.6,112.4,89.7,0.0,0.0,0.1,407.9,21.7,25.6,360.4,0.1
1400,HARYANA DELHI & CHANDIGARH,1944,21.5,32.9,35.1,27.6,0.5,52.2,150.7,99.0,38.8,24.8,0.6,0.6,484.2,54.4,63.1,340.7,26.0
1401,HARYANA DELHI & CHANDIGARH,1945,41.5,0.0,2.4,6.5,7.9,36.5,120.0,122.3,312.5,5.1,0.0,0.0,654.6,41.5,16.8,591.2,5.1
